1059954030	20210824	202108	2021	2021.6411	CHN	CHINESE	CHN								SEN	SENEGAL	SEN								1	046	046	04	1	7.0	6	1	6	-1.14155251141552	1	China	CH	CH		35	105	CH	1	Senegal	SG	SG		14	-14	SG	1	Senegal	SG	SG		14	-14	SG	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954031	20210824	202108	2021	2021.6411	GOV	GOVERNMENT						GOV			BUS	COMPANIES						BUS			1	030	030	03	1	4.0	5	1	5	-0.58737151248164	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.afr.com/companies/energy/windfall-profit-tax-would-solve-gas-crisis-grattan-20220824-p5bcce
1059954032	20210824	202108	2021	2021.6411	GOV	GOVERNMENT						GOV			BUS	COMPANIES						BUS			1	033	033	03	1	5.2	5	1	5	-0.58737151248164	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.afr.com/companies/energy/windfall-profit-tax-would-solve-gas-crisis-grattan-20220824-p5bcce
1059954033	20210824	202108	2021	2021.6411	GOV	GOVERNMENT						GOV			BUS	COMPANIES						BUS			1	042	042	04	1	1.9	5	1	5	-0.58737151248164	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.afr.com/companies/energy/windfall-profit-tax-would-solve-gas-crisis-grattan-20220824-p5bcce
1059954034	20210824	202108	2021	2021.6411	GOV	GOVERNMENT						GOV			BUS	COMPANIES						BUS			1	050	050	05	1	3.5	5	1	5	-0.58737151248164	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.afr.com/companies/energy/windfall-profit-tax-would-solve-gas-crisis-grattan-20220824-p5bcce
1059954035	20210824	202108	2021	2021.6411	GOV	ADMINISTRATION						GOV			LEG	CONGRESS						LEG			0	036	036	03	1	4.0	5	1	5	-1.30260521042084	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220824103000	https://cnsnews.com/article/international/patrick-goodenough/iranian-regime-briefs-its-parliament-over-nuclear-deal
1059954036	20210824	202108	2021	2021.6411	GOV	GOVERNOR						GOV			MNCUSA	DISNEY	USA					MNC			0	190	190	19	4	-10.0	6	2	6	-1.22399020807833	3	State Of Florida, Florida, United States	US	USFL	FL053	28.7505	-82.5001	294478	3	State Of Florida, Florida, United States	US	USFL		28.7505	-82.5001	294478	3	State Of Florida, Florida, United States	US	USFL		28.7505	-82.5001	294478	20220824103000	https://www.staugustine.com/story/news/politics/2022/08/24/poll-florida-desantis-culture-war-voters/10352673002/
1059954037	20210824	202108	2021	2021.6411	GOV	GOVERNOR						GOV			MNCUSA	DISNEY	USA					MNC			0	190	190	19	4	-10.0	4	2	4	-1.22399020807833	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220824103000	https://www.staugustine.com/story/news/politics/2022/08/24/poll-florida-desantis-culture-war-voters/10352673002/
1059954038	20210824	202108	2021	2021.6411	GOVMIL	DEFENSE SECRETARY						GOV	MIL		KOR	SOUTH KOREA	KOR								0	0353	035	03	1	7.0	1	1	1	-0.16666666666667	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20220824103000	https://www.stripes.com/theaters/asia_pacific/2022-08-24/south-korea-ulchi-freedom-shield-7088830.html
1059954039	20210824	202108	2021	2021.6411	KORGOVMIL	SOUTH KOREA	KOR					GOV	MIL		KOR	SOUTH KOREA	KOR								0	0353	035	03	1	7.0	1	1	1	-0.16666666666667	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20220824103000	https://www.stripes.com/theaters/asia_pacific/2022-08-24/south-korea-ulchi-freedom-shield-7088830.html
1059954040	20210824	202108	2021	2021.6411	MNCUSA	DISNEY	USA					MNC			GOV	GOVERNOR						GOV			0	190	190	19	4	-10.0	6	2	6	-1.22399020807833	3	State Of Florida, Florida, United States	US	USFL	FL053	28.7505	-82.5001	294478	3	State Of Florida, Florida, United States	US	USFL		28.7505	-82.5001	294478	3	State Of Florida, Florida, United States	US	USFL		28.7505	-82.5001	294478	20220824103000	https://www.staugustine.com/story/news/politics/2022/08/24/poll-florida-desantis-culture-war-voters/10352673002/
1059954041	20210824	202108	2021	2021.6411	MNCUSA	DISNEY	USA					MNC			GOV	GOVERNOR						GOV			0	190	190	19	4	-10.0	4	2	4	-1.22399020807833	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220824103000	https://www.staugustine.com/story/news/politics/2022/08/24/poll-florida-desantis-culture-war-voters/10352673002/
1059954042	20210824	202108	2021	2021.6411	RUS	RUSSIA	RUS								UKR	UKRAINE	UKR								1	0841	084	08	2	7.0	2	1	2	-2.80597014925373	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	20220824103000	https://www.nation.sc/articles/14781/august-24-is-ukraines-independence-day
1059954043	20210824	202108	2021	2021.6411	RUS	RUSSIA	RUS								UKR	UKRAINE	UKR								1	0841	084	08	2	7.0	6	1	6	-2.80597014925373	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824103000	https://www.nation.sc/articles/14781/august-24-is-ukraines-independence-day
1059954044	20210824	202108	2021	2021.6411	SEN	SENEGAL	SEN								AFRGOV	AFRICA	AFR					GOV			1	046	046	04	1	7.0	4	1	4	-1.14155251141552	1	Senegal	SG	SG		14	-14	SG	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954045	20210824	202108	2021	2021.6411	SEN	SENEGAL	SEN								AFRGOV	AFRICA	AFR					GOV			1	046	046	04	1	7.0	6	1	6	-1.14155251141552	1	Senegal	SG	SG		14	-14	SG	1	China	CH	CH		35	105	CH	1	Senegal	SG	SG		14	-14	SG	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954046	20210824	202108	2021	2021.6411	SEN	SENEGAL	SEN								CHN	CHINESE	CHN								1	046	046	04	1	7.0	4	1	4	-1.14155251141552	1	Senegal	SG	SG		14	-14	SG	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954047	20210824	202108	2021	2021.6411	SEN	SENEGAL	SEN								CHN	CHINESE	CHN								1	046	046	04	1	7.0	6	1	6	-1.14155251141552	1	Senegal	SG	SG		14	-14	SG	1	China	CH	CH		35	105	CH	1	Senegal	SG	SG		14	-14	SG	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954048	20210824	202108	2021	2021.6411	UKR	UKRAINE	UKR																		1	0841	084	08	2	7.0	2	1	2	-2.80597014925373	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	0								4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824103000	https://www.nation.sc/articles/14781/august-24-is-ukraines-independence-day
1059954049	20210824	202108	2021	2021.6411	UKR	UKRAINE	UKR								RUS	RUSSIA	RUS								1	017	017	01	1	0.0	4	1	4	-2.80597014925373	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220824103000	https://www.nation.sc/articles/14781/august-24-is-ukraines-independence-day
1059954050	20210824	202108	2021	2021.6411	UKR	UKRAINE	UKR								RUS	RUSSIA	RUS								1	017	017	01	1	0.0	1	1	1	-2.80597014925373	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	20220824103000	https://www.nation.sc/articles/14781/august-24-is-ukraines-independence-day
1059954051	20210824	202108	2021	2021.6411	UKR	UKRAINE	UKR								RUS	RUSSIA	RUS								1	017	017	01	1	0.0	3	1	3	-2.80597014925373	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	20220824103000	https://www.nation.sc/articles/14781/august-24-is-ukraines-independence-day
1059954052	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA								osa	OSAGE			osa						1	173	173	17	4	-5.0	4	1	4	-7.09677419354839	3	Mason City, Iowa, United States	US	USIA	IA033	43.1536	-93.201	458840	3	Mason City, Iowa, United States	US	USIA		43.1536	-93.201	458840	3	Mason City, Iowa, United States	US	USIA		43.1536	-93.201	458840	20220824103000	https://www.kbur.com/2022/08/24/osage-man-charged-with-murdering-woman-whose-head-was-found-in-a-northern-iowa-park/
1059954053	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA								osa	OSAGE			osa						1	173	173	17	4	-5.0	2	1	2	-7.09677419354839	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	3	Mason City, Iowa, United States	US	USIA		43.1536	-93.201	458840	3	Mason City, Iowa, United States	US	USIA		43.1536	-93.201	458840	20220824103000	https://www.kbur.com/2022/08/24/osage-man-charged-with-murdering-woman-whose-head-was-found-in-a-northern-iowa-park/
1059954054	20220725	202207	2022	2022.5616											MIL	ARMY						MIL			1	036	036	03	1	4.0	6	1	6	3.7037037037037	0								3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	20220824103000	https://www.prweb.com/releases/craig_morgan_book_tour_and_major_tv_appearances_for_his_powerful_memoir_god_family_country/prweb18856889.htm
1059954055	20220725	202207	2022	2022.5616	JUD	LAWYER						JUD			SGP	SINGAPORE	SGP								1	051	051	05	1	3.4	2	1	2	-4.13223140495868	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20220824103000	https://decrypt.co/108108/singapore-court-greenlights-inquiry-three-arrows-capital-finances-report
1059954056	20220725	202207	2022	2022.5616	KEN	KENYA	KEN																		1	080	080	08	2	5.0	4	1	4	-0.79051383399209	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20220824103000	https://www.capitalfm.co.ke/news/2022/08/sakaja-describes-nms-term-as-cocktail-of-hits-and-misses/
1059954057	20220725	202207	2022	2022.5616	MIL	ARMY						MIL													1	036	036	03	1	4.0	6	1	6	3.7037037037037	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	0								3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	20220824103000	https://www.prweb.com/releases/craig_morgan_book_tour_and_major_tv_appearances_for_his_powerful_memoir_god_family_country/prweb18856889.htm
1059954058	20220725	202207	2022	2022.5616	MIL	ARMY						MIL													1	051	051	05	1	3.4	6	1	6	3.7037037037037	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	0								3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	20220824103000	https://www.prweb.com/releases/craig_morgan_book_tour_and_major_tv_appearances_for_his_powerful_memoir_god_family_country/prweb18856889.htm
1059954059	20220725	202207	2022	2022.5616	MIL	ARMY						MIL			USA	UNITED STATES	USA								1	036	036	03	1	4.0	4	1	4	3.7037037037037	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	20220824103000	https://www.prweb.com/releases/craig_morgan_book_tour_and_major_tv_appearances_for_his_powerful_memoir_god_family_country/prweb18856889.htm
1059954060	20220725	202207	2022	2022.5616	MIL	ARMY						MIL			USA	UNITED STATES	USA								1	051	051	05	1	3.4	4	1	4	3.7037037037037	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	20220824103000	https://www.prweb.com/releases/craig_morgan_book_tour_and_major_tv_appearances_for_his_powerful_memoir_god_family_country/prweb18856889.htm
1059954061	20220725	202207	2022	2022.5616	USA	UNITED STATES	USA																		1	051	051	05	1	3.4	4	1	4	3.7037037037037	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	0								3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	20220824103000	https://www.prweb.com/releases/craig_morgan_book_tour_and_major_tv_appearances_for_his_powerful_memoir_god_family_country/prweb18856889.htm
1059954062	20220725	202207	2022	2022.5616	USA	UNITED STATES	USA								MIL	ARMY						MIL			1	036	036	03	1	4.0	4	1	4	3.7037037037037	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	20220824103000	https://www.prweb.com/releases/craig_morgan_book_tour_and_major_tv_appearances_for_his_powerful_memoir_god_family_country/prweb18856889.htm
1059954063	20220817	202208	2022	2022.6219	CHN	CHINA	CHN								CHNGOV	CHINA	CHN					GOV			1	036	036	03	1	4.0	10	1	10	-1.14155251141552	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954064	20220817	202208	2022	2022.6219	CHNGOV	CHINA	CHN					GOV			CHN	CHINA	CHN								1	036	036	03	1	4.0	10	1	10	-1.14155251141552	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954065	20220817	202208	2022	2022.6219	CHNGOV	CHINA	CHN					GOV			CHN	CHINA	CHN								1	164	164	16	4	-7.0	10	1	10	-1.14155251141552	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824103000	https://www.modernghana.com/news/1179010/china-cancels-debt-of-17-african-countries.html
1059954066	20220817	202208	2022	2022.6219	IRN	IRAN	IRN								LEG	PARLIAMENT						LEG			0	040	040	04	1	1.0	5	1	5	-1.30260521042084	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220824103000	https://cnsnews.com/article/international/patrick-goodenough/iranian-regime-briefs-its-parliament-over-nuclear-deal
1059954067	20220817	202208	2022	2022.6219	LEG	LAWMAKER						LEG													1	010	010	01	1	0.0	3	1	3	0	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20220824103000	https://www.arkansasonline.com/news/2022/aug/24/australia-to-study-limit-on-premiers-its-current/
1059954068	20220817	202208	2022	2022.6219	USA	UNITED STATES	USA																		0	011	011	01	1	-0.1	4	1	4	-2.78770550393138	3	Verde River, Arizona, United States	US	USAZ	AZ013	33.547	-111.661	35768	0								3	Verde River, Arizona, United States	US	USAZ		33.547	-111.661	35768	20220824103000	https://www.eastvalleytribune.com/interstate-water-brawl-leaves-cities-in-lurch/article_c3b35143-d88b-5f8d-b2ad-3e41429210b9.html
1059954069	20220817	202208	2022	2022.6219	USA	UNITED STATES	USA																		0	124	124	12	3	-4.0	2	1	2	-2.78770550393138	3	Lake Powell, Arizona, United States	US	USAZ	UT025	36.9361	-111.484	1431462	0								3	Lake Powell, Arizona, United States	US	USAZ		36.9361	-111.484	1431462	20220824103000	https://www.eastvalleytribune.com/interstate-water-brawl-leaves-cities-in-lurch/article_c3b35143-d88b-5f8d-b2ad-3e41429210b9.html
1059954070	20220817	202208	2022	2022.6219	USA	UNITED STATES	USA																		0	124	124	12	3	-4.0	2	1	2	-2.78770550393138	3	Verde River, Arizona, United States	US	USAZ	AZ013	33.547	-111.661	35768	0								3	Verde River, Arizona, United States	US	USAZ		33.547	-111.661	35768	20220824103000	https://www.eastvalleytribune.com/interstate-water-brawl-leaves-cities-in-lurch/article_c3b35143-d88b-5f8d-b2ad-3e41429210b9.html
1059954071	20220817	202208	2022	2022.6219	USA	ARIZONA	USA								MEX	MEXICO	MEX								0	114	114	11	3	-2.0	2	1	2	-2.78770550393138	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	4	Colorado River, Mexico (general), Mexico	MX	MX00	20955	31.9	-114.95	-1658851	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20220824103000	https://www.eastvalleytribune.com/interstate-water-brawl-leaves-cities-in-lurch/article_c3b35143-d88b-5f8d-b2ad-3e41429210b9.html
1059954072	20220817	202208	2022	2022.6219	USA	ARIZONA	USA								MEX	MEXICO	MEX								0	114	114	11	3	-2.0	2	1	2	-2.78770550393138	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20220824103000	https://www.eastvalleytribune.com/interstate-water-brawl-leaves-cities-in-lurch/article_c3b35143-d88b-5f8d-b2ad-3e41429210b9.html
1059954073	20220817	202208	2022	2022.6219	USALEG	ARIZONA	USA					LEG			USA	ARIZONA	USA								0	114	114	11	3	-2.0	3	1	3	-2.78770550393138	3	Lake Powell, Arizona, United States	US	USAZ	UT025	36.9361	-111.484	1431462	3	Lake Powell, Arizona, United States	US	USAZ		36.9361	-111.484	1431462	3	Lake Powell, Arizona, United States	US	USAZ		36.9361	-111.484	1431462	20220824103000	https://www.eastvalleytribune.com/interstate-water-brawl-leaves-cities-in-lurch/article_c3b35143-d88b-5f8d-b2ad-3e41429210b9.html
1059954074	20220817	202208	2022	2022.6219	USALEG	ARIZONA	USA					LEG			USA	ARIZONA	USA								0	114	114	11	3	-2.0	3	1	3	-2.78770550393138	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20220824103000	https://www.eastvalleytribune.com/interstate-water-brawl-leaves-cities-in-lurch/article_c3b35143-d88b-5f8d-b2ad-3e41429210b9.html
1059954075	20220823	202208	2022	2022.6384	COP	CONSTABLE						COP			CVL	COMMUNITY						CVL			0	023	023	02	1	3.4	15	2	15	-4.8688482842045	0								0								0								20220824103000	https://www.bbc.co.uk/news/uk-england-merseyside-62658221
1059954076	20220823	202208	2022	2022.6384	IND	GUJARAT	IND																		1	017	017	01	1	0.0	5	1	5	1.47492625368732	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	0								4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	20220824103000	https://www.business-standard.com/article/politics/nobody-knows-what-will-be-decided-gehlot-on-congress-president-speculation-122082400731_1.html
1059954077	20220823	202208	2022	2022.6384	LEG	REPRESENTATIVES						LEG													1	020	020	02	1	3.0	5	1	5	-1.48760330578512	1	Seychelles	SE	SE		-4.583333	55.666667	SE	0								1	Seychelles	SE	SE		-4.583333	55.666667	SE	20220824103000	https://www.nation.sc/articles/14789/retiring-teachers-voice-out-concerns-regarding-pension-reforms
1059954078	20220823	202208	2022	2022.6384	LEG	REPRESENTATIVES						LEG			SYC	SEYCHELLES	SYC								1	020	020	02	1	3.0	5	1	5	-1.48760330578512	1	Seychelles	SE	SE		-4.583333	55.666667	SE	1	Seychelles	SE	SE		-4.583333	55.666667	SE	1	Seychelles	SE	SE		-4.583333	55.666667	SE	20220824103000	https://www.nation.sc/articles/14789/retiring-teachers-voice-out-concerns-regarding-pension-reforms
1059954079	20220823	202208	2022	2022.6384	TTOGOV	TRINIDAD AND TOBAGO	TTO					GOV													1	080	080	08	2	5.0	2	1	2	-0.60459492140266	4	Chaguanas, Caroni, Trinidad And Tobago	TD	TD02	27410	10.5167	-61.4167	-1359692	0								4	Chaguanas, Caroni, Trinidad And Tobago	TD	TD02	27410	10.5167	-61.4167	-1359692	20220824103000	https://trinidadexpress.com/news/local/hdc-makeover/article_81737c86-2346-11ed-886e-9f8683bfd650.html
1059954080	20220824	202208	2022	2022.6411											AFG	AFGHANISTAN	AFG								1	112	112	11	3	-2.0	2	1	2	-8.64661654135338	0								4	Balkh, Balkh, Afghanistan	AF	AF30	3480	36.7564	66.8972	-3370021	4	Balkh, Balkh, Afghanistan	AF	AF30	3480	36.7564	66.8972	-3370021	20220824103000	https://www.khaama.com/taliban-kills-two-robbers-in-northern-afghanistan-89650/
1059954081	20220824	202208	2022	2022.6411											AFR	AFRICA	AFR								0	042	042	04	1	1.9	1	1	1	-1.79186767746382	0								2	California, United States	US	USCA		36.17	-119.746	CA	1	Greenland	GL	GL		72	-40	GL	20220824103000	https://www.washingtonpost.com/climate-environment/2022/08/24/methane-hydrates-ocean-global-warming/
1059954082	20220824	202208	2022	2022.6411											AFR	AFRICA	AFR								0	042	042	04	1	1.9	4	1	4	-1.79186767746382	0								1	Greenland	GL	GL		72	-40	GL	1	Greenland	GL	GL		72	-40	GL	20220824103000	https://www.washingtonpost.com/climate-environment/2022/08/24/methane-hydrates-ocean-global-warming/
1059954083	20220824	202208	2022	2022.6411											ARM	ARMENIA	ARM								1	043	043	04	1	2.8	6	1	6	1.18343195266272	0								4	Zangezur, Syunik', Armenia	AM	AM08	4928	39.2075	46.4058	-2324916	4	Zangezur, Syunik', Armenia	AM	AM08	4928	39.2075	46.4058	-2324916	20220824103000	https://armenpress.am/eng/news/1090953/
1059954084	20220824	202208	2022	2022.6411											AUS	AUSTRALIA	AUS								1	040	040	04	1	1.0	7	1	4	5.34016093635699	0								4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20220824103000	https://www.thelawyermag.com/au/news/general/dmaw-lawyers-homegrown-star-had-to-act-opposite-her-first-boss-in-the-supreme-court/417921
